juneupdate22_tchinese.json | [s] None => 3941 | [h] None => 5e7d681712 | 2023-11-16 13:28:23 (UTC+3)
juneupdate22_thai.json | [s] None => 7631 | [h] None => 1643ba3451 | 2023-11-16 13:28:23 (UTC+3)
juneupdate22_turkish.json | [s] None => 736 | [h] None => 060376fb6e | 2023-11-16 13:28:24 (UTC+3)
juneupdate22_ukrainian.json | [s] None => 7650 | [h] None => 7cb29286c9 | 2023-11-16 13:28:23 (UTC+3)
juneupdate22_vietnamese.json | [s] None => 7514 | [h] None => 4950f0fc1b | 2023-11-16 13:28:23 (UTC+3)
labyrinth.js | [s] None => 32693 | [h] None => 93c28ce33e | 2023-11-16 13:28:23 (UTC+3)
main.js | [s] None => 1969402 | [h] None => 3c117bd417 | 2023-11-16 13:28:22 (UTC+3)
main_brazilian.json | [s] None => 204069 | [h] None => 4a6a62caf1 | 2023-11-16 13:28:24 (UTC+3)
main_bulgarian.json | [s] None => 212399 | [h] None => 468c743063 | 2023-11-16 13:28:23 (UTC+3)
main_czech.json | [s] None => 192836 | [h] None => 3c18219d43 | 2023-11-16 13:28:24 (UTC+3)
main_danish.json | [s] None => 194326 | [h] None => b383fd03b9 | 2023-11-16 13:28:23 (UTC+3)
main_dutch.json | [s] None => 128144 | [h] None => 82ec79be58 | 2023-11-16 13:28:23 (UTC+3)
main_english.json | [s] None => 191897 | [h] None => 522c76f66f | 2023-11-16 13:28:23 (UTC+3)
main_finnish.json | [s] None => 145660 | [h] None => 9069e57e94 | 2023-11-16 13:28:23 (UTC+3)
main_french.json | [s] None => 220232 | [h] None => 0cf872f9e9 | 2023-11-16 13:28:23 (UTC+3)
main_german.json | [s] None => 210989 | [h] None => 56468dcef8 | 2023-11-16 13:28:23 (UTC+3)
main_greek.json | [s] None => 217154 | [h] None => e04e5db429 | 2023-11-16 13:28:23 (UTC+3)
main_hungarian.json | [s] None => 198836 | [h] None => fe6955cb8f | 2023-11-16 13:28:23 (UTC+3)
main_italian.json | [s] None => 213322 | [h] None => f7732a3ab5 | 2023-11-16 13:28:23 (UTC+3)
main_japanese.json | [s] None => 35724 | [h] None => 7b263686e1 | 2023-11-16 13:28:23 (UTC+3)
main_korean.json | [s] None => 92437 | [h] None => fc3038f139 | 2023-11-16 13:28:23 (UTC+3)
main_koreana.json | [s] None => 131574 | [h] None => a590bca80f | 2023-11-16 13:28:23 (UTC+3)
main_latam.json | [s] None => 214509 | [h] None => b00620e8e2 | 2023-11-16 13:28:23 (UTC+3)
main_norwegian.json | [s] None => 192567 | [h] None => 93aac08e04 | 2023-11-16 13:28:23 (UTC+3)
main_polish.json | [s] None => 209880 | [h] None => 7fc811bf4f | 2023-11-16 13:28:23 (UTC+3)
main_portuguese.json | [s] None => 210292 | [h] None => 345033b5b0 | 2023-11-16 13:28:23 (UTC+3)
main_romanian.json | [s] None => 77900 | [h] None => 95cdda1faa | 2023-11-16 13:28:23 (UTC+3)
main_russian.json | [s] None => 186323 | [h] None => a9ee288e33 | 2023-11-16 13:28:23 (UTC+3)
main_schinese.json | [s] None => 104844 | [h] None => 0e17fd8966 | 2023-11-16 13:28:23 (UTC+3)
main_spanish.json | [s] None => 215714 | [h] None => 799ef19953 | 2023-11-16 13:28:23 (UTC+3)
main_swedish.json | [s] None => 191375 | [h] None => 66c09d0e75 | 2023-11-16 13:28:23 (UTC+3)
main_tchinese.json | [s] None => 92212 | [h] None => cc8f25cabe | 2023-11-16 13:28:23 (UTC+3)
main_thai.json | [s] None => 188268 | [h] None => 1f62fa86c5 | 2023-11-16 13:28:23 (UTC+3)
main_turkish.json | [s] None => 100875 | [h] None => 5beb7d9a69 | 2023-11-16 13:28:23 (UTC+3)
main_ukrainian.json | [s] None => 196974 | [h] None => a1df9e4e95 | 2023-11-16 13:28:23 (UTC+3)
main_vietnamese.json | [s] None => 189858 | [h] None => 2c534677d3 | 2023-11-16 13:28:23 (UTC+3)
manifest.js | [s] None => 12973 | [h] None => 6ea83d4e8b | 2023-11-16 13:28:23 (UTC+3)
manifest.js | [h] 6ea83d4e8b => 7615c5741c | 2023-11-28 03:39:30 (UTC+3)
marci.js | [s] None => 16405 | [h] None => 4034e4312e | 2023-11-16 13:28:23 (UTC+3)
muerta.js | [s] None => 41343 | [h] None => 8909c85fec | 2023-11-16 13:28:23 (UTC+3)
muerta23_brazilian.json | [s] None => 16727 | [h] None => 7d1fc655a7 | 2023-11-16 13:28:24 (UTC+3)
muerta23_bulgarian.json | [s] None => 16730 | [h] None => b79b458a04 | 2023-11-16 13:28:23 (UTC+3)
muerta23_czech.json | [s] None => 15836 | [h] None => 59bf6f94e0 | 2023-11-16 13:28:23 (UTC+3)
muerta23_danish.json | [s] None => 15409 | [h] None => ff7c024d88 | 2023-11-16 13:28:23 (UTC+3)
muerta23_dutch.json | [s] None => 17209 | [h] None => b89fe269e3 | 2023-11-16 13:28:23 (UTC+3)
muerta23_english.json | [s] None => 14930 | [h] None => 7ee5ec4400 | 2023-11-16 13:28:23 (UTC+3)
muerta23_finnish.json | [s] None => 14883 | [h] None => 49a4127aed | 2023-11-16 13:28:23 (UTC+3)
muerta23_french.json | [s] None => 18491 | [h] None => 1922dc040d | 2023-11-16 13:28:23 (UTC+3)
muerta23_german.json | [s] None => 17361 | [h] None => da07f80cb7 | 2023-11-16 13:28:23 (UTC+3)
muerta23_greek.json | [s] None => 17268 | [h] None => d60d293bfa | 2023-11-16 13:28:23 (UTC+3)
muerta23_hungarian.json | [s] None => 16335 | [h] None => 42a81d9280 | 2023-11-16 13:28:23 (UTC+3)
muerta23_italian.json | [s] None => 17852 | [h] None => 95b108b845 | 2023-11-16 13:28:23 (UTC+3)
muerta23_japanese.json | [s] None => 10724 | [h] None => e05f24a701 | 2023-11-16 13:28:23 (UTC+3)
muerta23_koreana.json | [s] None => 10584 | [h] None => 79514a21db | 2023-11-16 13:28:24 (UTC+3)
muerta23_latam.json | [s] None => 17376 | [h] None => 56d87f81c8 | 2023-11-16 13:28:23 (UTC+3)
muerta23_norwegian.json | [s] None => 15188 | [h] None => e06a79de8e | 2023-11-16 13:28:24 (UTC+3)
muerta23_polish.json | [s] None => 17331 | [h] None => 9e1248729e | 2023-11-16 13:28:23 (UTC+3)
muerta23_portuguese.json | [s] None => 17487 | [h] None => 766647003f | 2023-11-16 13:28:23 (UTC+3)
muerta23_romanian.json | [s] None => 17453 | [h] None => ea87b8b870 | 2023-11-16 13:28:23 (UTC+3)
muerta23_russian.json | [s] None => 15884 | [h] None => 42b36510b3 | 2023-11-16 13:28:23 (UTC+3)
muerta23_schinese.json | [s] None => 8337 | [h] None => 595636b4fc | 2023-11-16 13:28:23 (UTC+3)
muerta23_spanish.json | [s] None => 17024 | [h] None => 37ebc83d28 | 2023-11-16 13:28:23 (UTC+3)
muerta23_swedish.json | [s] None => 15086 | [h] None => 95a6901956 | 2023-11-16 13:28:23 (UTC+3)
muerta23_tchinese.json | [s] None => 8457 | [h] None => e910126d77 | 2023-11-16 13:28:23 (UTC+3)
muerta23_thai.json | [s] None => 14717 | [h] None => 1a0afeae3c | 2023-11-16 13:28:23 (UTC+3)
muerta23_turkish.json | [s] None => 16723 | [h] None => 5010ad69c1 | 2023-11-16 13:28:24 (UTC+3)
muerta23_ukrainian.json | [s] None => 16318 | [h] None => b02dbfea2a | 2023-11-16 13:28:23 (UTC+3)
muerta23_vietnamese.json | [s] None => 14896 | [h] None => 332be22529 | 2023-11-16 13:28:23 (UTC+3)
nemestice.js | [s] None => 28198 | [h] None => 265c1ff181 | 2023-11-16 13:28:24 (UTC+3)
new_frontiers.js | [s] None => 33237 | [h] None => ed252383d4 | 2023-11-16 13:28:23 (UTC+3)
new_frontiers_brazilian.json | [s] None => 23523 | [h] None => 9ad21a5fa8 | 2023-11-16 13:28:23 (UTC+3)
new_frontiers_bulgarian.json | [s] None => 24699 | [h] None => 3a7028ae51 | 2023-11-16 13:28:23 (UTC+3)
new_frontiers_czech.json | [s] None => 21881 | [h] None => 24042cf7a1 | 2023-11-16 13:28:24 (UTC+3)
new_frontiers_danish.json | [s] None => 22547 | [h] None => bbdb6650ec | 2023-11-16 13:28:23 (UTC+3)
new_frontiers_dutch.json | [s] None => 24850 | [h] None => cfaed08d19 | 2023-11-16 13:28:23 (UTC+3)
new_frontiers_english.json | [s] None => 21959 | [h] None => 3f62baa7ea | 2023-11-16 13:28:24 (UTC+3)
new_frontiers_finnish.json | [s] None => 21732 | [h] None => 447b53dfb0 | 2023-11-16 13:28:24 (UTC+3)
new_frontiers_french.json | [s] None => 26211 | [h] None => db8d7dc725 | 2023-11-16 13:28:24 (UTC+3)
new_frontiers_german.json | [s] None => 26209 | [h] None => 9fe96948c8 | 2023-11-16 13:28:23 (UTC+3)
new_frontiers_greek.json | [s] None => 24881 | [h] None => a1bed0ab93 | 2023-11-16 13:28:23 (UTC+3)
new_frontiers_hungarian.json | [s] None => 23255 | [h] None => 05c1d5be1e | 2023-11-16 13:28:23 (UTC+3)
new_frontiers_italian.json | [s] None => 25301 | [h] None => 6b06543810 | 2023-11-16 13:28:23 (UTC+3)
new_frontiers_japanese.json | [s] None => 14226 | [h] None => fc75d817e3 | 2023-11-16 13:28:23 (UTC+3)
new_frontiers_koreana.json | [s] None => 14679 | [h] None => ce1720b574 | 2023-11-16 13:28:24 (UTC+3)
new_frontiers_latam.json | [s] None => 24919 | [h] None => 5d0eac1b49 | 2023-11-16 13:28:23 (UTC+3)
new_frontiers_norwegian.json | [s] None => 22022 | [h] None => d605f76a74 | 2023-11-16 13:28:24 (UTC+3)
