spirit_breaker | [s] None => 32558 | [h] None => dfdeb3b356 | 2023-11-16 13:28:15 (UTC+3)
storm_spirit | [s] None => 31452 | [h] None => 2a2552603e | 2023-11-16 13:28:15 (UTC+3)
sven | [s] None => 29035 | [h] None => ba1686a906 | 2023-11-16 13:28:15 (UTC+3)
target_dummy | [s] None => 646 | [h] None => b421dca3c0 | 2023-11-16 13:28:15 (UTC+3)
techies | [s] None => 36263 | [h] None => fd34dd1b5d | 2023-11-16 13:28:15 (UTC+3)
templar_assassin | [s] None => 33574 | [h] None => 1899184603 | 2023-11-16 13:28:15 (UTC+3)
terrorblade | [s] None => 35031 | [h] None => e5ff9731be | 2023-11-16 13:28:15 (UTC+3)
tidehunter | [s] None => 32672 | [h] None => 671f0d2a27 | 2023-11-16 13:28:15 (UTC+3)
tinker | [s] None => 34628 | [h] None => 3de95c094e | 2023-11-16 13:28:15 (UTC+3)
tiny | [s] None => 35356 | [h] None => aed8a642d6 | 2023-11-16 13:28:15 (UTC+3)
treant | [s] None => 36479 | [h] None => 4cdb423299 | 2023-11-16 13:28:15 (UTC+3)
troll_warlord | [s] None => 35007 | [h] None => 3e1d102538 | 2023-11-16 13:28:15 (UTC+3)
tusk | [s] None => 35224 | [h] None => 52da7acc66 | 2023-11-16 13:28:15 (UTC+3)
undying | [s] None => 31971 | [h] None => 608ace2e29 | 2023-11-16 13:28:15 (UTC+3)
ursa | [s] None => 29187 | [h] None => fb084f05fa | 2023-11-16 13:28:15 (UTC+3)
vengefulspirit | [s] None => 29731 | [h] None => 24fe3b631c | 2023-11-16 13:28:15 (UTC+3)
venomancer | [s] None => 37320 | [h] None => 54a8cd01bb | 2023-11-16 13:28:15 (UTC+3)
viper | [s] None => 33879 | [h] None => 40e34a4c13 | 2023-11-16 13:28:15 (UTC+3)
visage | [s] None => 33944 | [h] None => 6b193d8117 | 2023-11-16 13:28:15 (UTC+3)
void_spirit | [s] None => 32953 | [h] None => 91775c3a3a | 2023-11-16 13:28:15 (UTC+3)
warlock | [s] None => 33099 | [h] None => ba9f3a3704 | 2023-11-16 13:28:15 (UTC+3)
weaver | [s] None => 31320 | [h] None => 6204713f3e | 2023-11-16 13:28:15 (UTC+3)
windrunner | [s] None => 33135 | [h] None => 81feadc741 | 2023-11-16 13:28:15 (UTC+3)
winter_wyvern | [s] None => 33241 | [h] None => 6f725a557b | 2023-11-16 13:28:15 (UTC+3)
wisp | [s] None => 35691 | [h] None => f0716a13eb | 2023-11-16 13:28:15 (UTC+3)
witch_doctor | [s] None => 32593 | [h] None => 478183ce3f | 2023-11-16 13:28:15 (UTC+3)
zuus | [s] None => 36100 | [h] None => f2bf3fa9b6 | 2023-11-16 13:28:15 (UTC+3)
abaddon CN | [s] None => 65487 | [h] None => 0ec2453755 | 2023-11-16 13:28:53 (UTC+3)
abyssal_underlord CN | [s] None => 66753 | [h] None => ce78dfc7d3 | 2023-11-16 13:28:53 (UTC+3)
alchemist CN | [s] None => 72058 | [h] None => 768079279b | 2023-11-16 13:28:53 (UTC+3)
ancient_apparition CN | [s] None => 66657 | [h] None => 089fd0bd33 | 2023-11-16 13:28:53 (UTC+3)
antimage CN | [s] None => 71806 | [h] None => a4140418a5 | 2023-11-16 13:28:53 (UTC+3)
arc_warden CN | [s] None => 72744 | [h] None => 3a368e95dd | 2023-11-16 13:28:53 (UTC+3)
axe CN | [s] None => 64239 | [h] None => a6d5d27479 | 2023-11-16 13:28:53 (UTC+3)
bane CN | [s] None => 62771 | [h] None => f3af0f3f0d | 2023-11-16 13:28:53 (UTC+3)
batrider CN | [s] None => 67394 | [h] None => 9df89d43af | 2023-11-16 13:28:53 (UTC+3)
beastmaster CN | [s] None => 84623 | [h] None => af02d6c4af | 2023-11-16 13:28:53 (UTC+3)
bloodseeker CN | [s] None => 69847 | [h] None => 211fa78b48 | 2023-11-16 13:28:53 (UTC+3)
bounty_hunter CN | [s] None => 70515 | [h] None => 4277b085f5 | 2023-11-16 13:28:53 (UTC+3)
brewmaster CN | [s] None => 75152 | [h] None => de78e20fd8 | 2023-11-16 13:28:53 (UTC+3)
bristleback CN | [s] None => 75410 | [h] None => faa0da0420 | 2023-11-16 13:28:53 (UTC+3)
broodmother CN | [s] None => 72482 | [h] None => d06d42d220 | 2023-11-16 13:28:53 (UTC+3)
centaur CN | [s] None => 76613 | [h] None => 06ab8dbb69 | 2023-11-16 13:28:53 (UTC+3)
chaos_knight CN | [s] None => 66277 | [h] None => 3ab677c6f6 | 2023-11-16 13:28:53 (UTC+3)
chen CN | [s] None => 64823 | [h] None => ec8382b8e2 | 2023-11-16 13:28:53 (UTC+3)
clinkz CN | [s] None => 77775 | [h] None => 48d32e5e94 | 2023-11-16 13:28:53 (UTC+3)
crystal_maiden CN | [s] None => 73950 | [h] None => bc2186b2e5 | 2023-11-16 13:28:53 (UTC+3)
dark_seer CN | [s] None => 72424 | [h] None => bdda85d96d | 2023-11-16 13:28:53 (UTC+3)
dark_willow CN | [s] None => 73073 | [h] None => b0748e23e9 | 2023-11-16 13:28:53 (UTC+3)
dawnbreaker CN | [s] None => 76159 | [h] None => f4fc023638 | 2023-11-16 13:28:53 (UTC+3)
dazzle CN | [s] None => 67612 | [h] None => 47746dc182 | 2023-11-16 13:28:53 (UTC+3)
death_prophet CN | [s] None => 67976 | [h] None => ef78c89ac2 | 2023-11-16 13:28:53 (UTC+3)
disruptor CN | [s] None => 64812 | [h] None => 3ba44ec063 | 2023-11-16 13:28:53 (UTC+3)
doom_bringer CN | [s] None => 64536 | [h] None => d94e4378fb | 2023-11-16 13:28:53 (UTC+3)
dragon_knight CN | [s] None => 73552 | [h] None => 7781d111d9 | 2023-11-16 13:28:53 (UTC+3)
drow_ranger CN | [s] None => 79302 | [h] None => b5388b9fba | 2023-11-16 13:28:53 (UTC+3)
earth_spirit CN | [s] None => 80659 | [h] None => e8b146090f | 2023-11-16 13:28:53 (UTC+3)
earthshaker CN | [s] None => 65731 | [h] None => d4ab6e546a | 2023-11-16 13:28:53 (UTC+3)
elder_titan CN | [s] None => 69287 | [h] None => aad1d4bd8b | 2023-11-16 13:28:53 (UTC+3)
ember_spirit CN | [s] None => 72088 | [h] None => 65ead4adab | 2023-11-16 13:28:53 (UTC+3)
enchantress CN | [s] None => 76195 | [h] None => 0bf51351c7 | 2023-11-16 13:28:53 (UTC+3)
enigma CN | [s] None => 68889 | [h] None => ef98a6f143 | 2023-11-16 13:28:53 (UTC+3)
faceless_void CN | [s] None => 68132 | [h] None => 81747bfbda | 2023-11-16 13:28:53 (UTC+3)
